Frame,ID,Zona
1,0,Centro-Izq
2,0,Centro-Izq
3,0,Centro-Izq
4,0,Centro-Izq
5,0,Centro-Izq
6,0,Centro-Izq
7,0,Centro-Izq
8,0,Centro-Izq
9,0,Centro-Izq
10,0,Centro-Izq
11,0,Centro-Izq
12,0,Centro-Izq
13,0,Centro-Izq
14,0,Centro-Izq
15,0,Centro-Izq
16,0,Centro-Izq
17,0,Centro-Izq
18,0,Centro-Izq
19,0,Centro-Izq
20,0,Centro-Izq
21,0,Centro-Izq
22,0,Centro-Izq
23,0,Centro-Izq
24,0,Centro-Izq
25,0,Centro-Izq
26,0,Centro-Izq
27,0,Centro-Izq
28,0,Centro-Izq
29,0,Centro-Izq
30,0,Centro-Izq
31,0,Centro-Izq
32,0,Centro-Izq
33,0,Centro-Izq
34,0,Centro-Der
35,0,Centro-Der
36,0,Centro-Der
37,0,Centro-Der
38,0,Centro-Der
39,0,Centro-Der
40,0,Centro-Der
41,0,Centro-Der
42,0,Centro-Der
43,11,Centro-Izq
44,11,Centro-Izq
45,11,Centro-Izq
47,11,Centro-Izq
48,11,Centro-Izq
49,11,Centro-Izq
50,8,Izquierda
51,8,Izquierda
52,8,Izquierda
53,8,Izquierda
54,8,Izquierda
55,8,Izquierda
56,8,Izquierda
57,8,Izquierda
58,0,Centro-Der
59,0,Centro-Der
60,0,Centro-Der
61,0,Centro-Der
62,13,Centro-Izq
63,13,Centro-Izq
64,13,Centro-Izq
65,13,Centro-Izq
66,13,Centro-Izq
67,13,Centro-Izq
68,13,Centro-Izq
69,13,Centro-Izq
70,13,Centro-Izq
71,13,Centro-Izq
72,13,Centro-Izq
73,13,Centro-Izq
74,13,Centro-Izq
75,13,Centro-Izq
76,13,Centro-Izq
77,13,Centro-Izq
78,13,Centro-Izq
79,13,Centro-Izq
80,13,Centro-Izq
81,13,Centro-Izq
82,13,Centro-Izq
83,13,Centro-Izq
84,13,Centro-Izq
85,13,Centro-Izq
86,13,Centro-Izq
87,13,Centro-Izq
88,13,Centro-Izq
89,13,Centro-Izq
90,13,Centro-Izq
91,13,Centro-Izq
92,13,Centro-Izq
93,13,Centro-Izq
94,13,Centro-Izq
95,13,Centro-Izq
96,13,Centro-Izq
97,13,Centro-Izq
98,13,Centro-Izq
99,13,Centro-Izq
100,13,Centro-Izq
101,13,Centro-Izq
102,13,Centro-Izq
103,14,Centro-Izq
104,14,Centro-Izq
105,14,Centro-Izq
106,14,Centro-Izq
107,14,Centro-Izq
108,14,Centro-Izq
109,14,Centro-Izq
110,14,Centro-Izq
111,14,Izquierda
112,14,Izquierda
113,13,Centro-Izq
114,14,Izquierda
116,13,Centro-Izq
118,13,Centro-Izq
134,15,Centro-Izq
139,14,Centro-Izq
142,15,Centro-Izq
145,14,Izquierda
149,15,Centro-Izq
167,15,Centro-Izq
174,15,Izquierda
175,15,Izquierda
176,15,Izquierda
