Frame,ID,Zona
1,0,Derecha
2,0,Derecha
3,0,Derecha
4,4,Centro-Izq
7,5,Centro-Der
8,5,Centro-Der
10,4,Centro-Izq
11,4,Centro-Izq
18,5,Centro-Der
20,8,Centro-Izq
43,9,Derecha
46,10,Izquierda
53,10,Izquierda
54,10,Izquierda
55,10,Izquierda
56,10,Izquierda
57,10,Izquierda
58,10,Izquierda
59,10,Izquierda
60,10,Izquierda
61,10,Izquierda
62,11,Derecha
63,11,Derecha
65,12,Centro-Der
66,12,Centro-Der
72,11,Derecha
73,13,Centro-Der
74,13,Centro-Der
75,13,Centro-Der
76,13,Centro-Der
77,13,Centro-Der
78,13,Centro-Der
79,13,Centro-Der
80,13,Centro-Der
81,13,Centro-Der
82,14,Derecha
85,13,Centro-Der
93,13,Centro-Der
94,13,Centro-Der
95,13,Centro-Der
112,13,Centro-Der
115,15,Izquierda
116,15,Izquierda
120,16,Derecha
121,16,Derecha
122,16,Derecha
123,16,Derecha
124,16,Derecha
125,16,Derecha
144,19,Derecha
151,18,Centro-Der
152,18,Centro-Der
153,18,Centro-Der
155,18,Centro-Der
156,18,Centro-Der
157,18,Centro-Der
158,18,Centro-Der
159,18,Centro-Der
160,18,Centro-Der
163,20,Izquierda
164,20,Izquierda
165,20,Izquierda
168,20,Izquierda
171,20,Izquierda
179,20,Izquierda
180,20,Izquierda
181,20,Izquierda
182,20,Izquierda
183,20,Izquierda
184,20,Izquierda
185,20,Izquierda
186,20,Izquierda
187,20,Izquierda
188,20,Izquierda
189,20,Izquierda
190,20,Izquierda
191,20,Izquierda
192,21,Izquierda
193,21,Izquierda
194,21,Izquierda
195,21,Izquierda
196,20,Izquierda
199,21,Izquierda
201,21,Izquierda
202,21,Izquierda
203,21,Izquierda
204,21,Izquierda
209,20,Izquierda
210,20,Izquierda
211,20,Izquierda
212,20,Izquierda
213,20,Izquierda
214,20,Izquierda
215,20,Izquierda
216,20,Izquierda
217,20,Izquierda
218,20,Izquierda
220,20,Izquierda
222,20,Izquierda
223,20,Izquierda
224,20,Izquierda
229,22,Centro-Der
232,22,Centro-Der
233,22,Centro-Der
234,22,Centro-Der
235,22,Centro-Der
236,22,Centro-Der
237,22,Centro-Der
238,22,Centro-Der
239,22,Centro-Der
240,22,Centro-Der
245,22,Centro-Der
246,22,Centro-Der
247,22,Centro-Der
248,22,Centro-Der
249,22,Centro-Der
250,22,Centro-Der
251,22,Centro-Der
253,23,Izquierda
254,22,Centro-Der
261,23,Izquierda
271,24,Centro-Izq
276,25,Centro-Izq
277,25,Centro-Izq
278,25,Centro-Izq
279,25,Centro-Izq
280,25,Centro-Izq
281,24,Centro-Izq
283,25,Centro-Izq
284,25,Centro-Izq
286,24,Centro-Izq
287,24,Centro-Izq
378,26,Derecha
379,26,Derecha
380,26,Derecha
381,26,Derecha
392,26,Derecha
393,26,Derecha
394,26,Derecha
